City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,Bengkulu,-3.8004,102.2655,75.0,90,100,4.36,ID,2021-12-31 19:39:37
146,Tabou,4.423,-7.3528,79.74,82,24,7.61,CI,2021-12-31 19:39:37
147,Oulainen,64.2667,24.8,27.27,95,100,7.18,FI,2021-12-31 19:39:38
148,Myitkyina,25.3833,97.4,57.42,80,20,2.35,MM,2021-12-31 19:39:38
149,Saint Anthony,45.0205,-93.218,19.33,82,90,5.01,US,2021-12-31 19:39:38
150,San Jeronimo,-11.9472,-75.2829,64.69,46,100,6.6,PE,2021-12-31 19:39:39
151,Cervo,43.6702,-7.4101,58.33,68,89,8.93,ES,2021-12-31 19:39:39
152,Kalutara,6.5831,79.9593,77.09,86,64,2.73,LK,2021-12-31 19:39:40
153,Margate,51.3813,1.3862,56.03,85,93,1.99,GB,2021-12-31 19:35:43
154,Poum,-20.2333,164.0167,80.83,84,99,24.56,NC,2021-12-31 19:39:40
155,Kavaratti,10.5669,72.642,81.23,72,100,7.7,IN,2021-12-31 19:39:41
156,Verkhoyansk,67.5447,133.385,-44.03,96,100,2.35,RU,2021-12-31 19:39:41
157,Padang,-0.9492,100.3543,76.77,88,100,3.91,ID,2021-12-31 19:39:42
158,San Miguel De Cauri,-10.1,-76.5833,55.85,65,97,6.04,PE,2021-12-31 19:39:42
159,Adre,13.4667,22.2,72.75,26,16,8.61,TD,2021-12-31 19:35:52
160,Mahebourg,-20.4081,57.7,77.29,78,40,6.91,MU,2021-12-31 19:39:43
161,Joshimath,30.5667,79.5667,36.81,41,92,8.57,IN,2021-12-31 19:39:43
162,Mar Del Plata,-38.0023,-57.5575,77.02,91,0,20.0,AR,2021-12-31 19:39:44
163,Boende,-0.2167,20.8667,71.8,95,96,2.08,CD,2021-12-31 19:39:44
164,Grand Gaube,-20.0064,57.6608,77.4,74,25,3.0,MU,2021-12-31 19:39:45
165,Mombetsu,44.3525,143.3525,11.7,77,47,10.78,JP,2021-12-31 19:39:45
166,Ternate,0.8,127.4,79.83,82,100,4.92,ID,2021-12-31 19:39:45
